senator,official_user_name,alt_user_name,tweets_in_last_seven_days,trumpcare_tweets,tct_percentage,russia_tweets,rt_percentage,tct_to_rt_ratio,trumpcare_tweet_urls,russia_tweet_urls
Markwayne Mullin,RepMullin,"",9,2,22.22,0,0.0,0.0,"[""https://twitter.com/RepMullin/status/874386009848508416"", ""https://twitter.com/RepMullin/status/874365409507586049""]",[]
Thomas MacArthur,RepTomMacArthur,"",7,0,0.0,0,0.0,0.0,[],[]
John R. Moolenaar,RepMoolenaar,"",5,0,0.0,0,0.0,0.0,[],[]
Alexander X. Mooney,RepAlexMooney,"",9,1,11.11,0,0.0,0.0,"[""https://twitter.com/RepAlexMooney/status/874687439440420864""]",[]
Martha McSally,RepMcSally,"",33,0,0.0,0,0.0,0.0,[],[]
Roger W. Marshall,RepMarshall,"",0,0,0.0,0,0.0,0.0,[],[]
Brian J. Mast,repbrianmast,"",8,2,25.0,0,0.0,0.0,"[""https://twitter.com/RepBrianMast/status/875395993319219201"", ""https://twitter.com/RepBrianMast/status/874626442973380608""]",[]
Paul Mitchell,RepPaulMitchell,"",8,0,0.0,0,0.0,0.0,[],[]
Devin Nunes,Rep_DevinNunes,"",1,0,0.0,1,100.0,0.0,[],"[""https://twitter.com/Rep_DevinNunes/status/875770133163257857""]"
Kristi L. Noem,RepKristiNoem,"",21,4,19.05,0,0.0,0.0,"[""https://twitter.com/RepKristiNoem/status/875522494341533697"", ""https://twitter.com/RepKristiNoem/status/874810876447965184"", ""https://twitter.com/RepKristiNoem/status/874676071190458369"", ""https://twitter.com/RepKristiNoem/status/874666677715206144""]",[]
Dan Newhouse,RepNewhouse,"",6,1,16.67,0,0.0,0.0,"[""https://twitter.com/RepNewhouse/status/874648590110646273""]",[]
Pete Olson,RepPeteOlson,"",14,0,0.0,0,0.0,0.0,[],[]
Stevan Pearce,RepStevePearce,"",20,3,15.0,0,0.0,0.0,"[""https://twitter.com/RepStevePearce/status/875350411946983425"", ""https://twitter.com/RepStevePearce/status/875345163106869248"", ""https://twitter.com/RepStevePearce/status/874727401347051521""]",[]
Ted Poe,JudgeTedPoe,"",11,0,0.0,0,0.0,0.0,[],[]
Erik Paulsen,RepErikPaulsen,"",21,1,4.76,0,0.0,0.0,"[""https://twitter.com/RepErikPaulsen/status/874727817380061184""]",[]
Bill Posey,CongBillPosey,"",0,0,0.0,0,0.0,0.0,[],[]
Steven M. Palazzo,CongPalazzo,"",2,0,0.0,0,0.0,0.0,[],[]
Scott Perry,RepScottPerry,"",7,0,0.0,0,0.0,0.0,[],[]
Robert Pittenger,RepPittenger,"",33,13,39.39,0,0.0,0.0,"[""https://twitter.com/reppittenger/status/875368302926802944"", ""https://twitter.com/reppittenger/status/875367796820987904"", ""https://twitter.com/reppittenger/status/874938215836332032"", ""https://twitter.com/reppittenger/status/874937964429750273"", ""https://twitter.com/reppittenger/status/874936965203886081"", ""https://twitter.com/reppittenger/status/874768849706643457"", ""https://twitter.com/reppittenger/status/874768094236782592"", ""https://twitter.com/reppittenger/status/874767845405732864"", ""https://twitter.com/reppittenger/status/874722795673890816"", ""https://twitter.com/reppittenger/status/874722547589316608"", ""https://twitter.com/reppittenger/status/874722296048627712"", ""https://twitter.com/reppittenger/status/874722044512014337"", ""https://twitter.com/reppittenger/status/874721790013997056""]",[]
Gary J. Palmer,USRepGaryPalmer,"",4,0,0.0,0,0.0,0.0,[],[]
Bruce Poliquin,RepPoliquin,"",5,0,0.0,0,0.0,0.0,[],[]
Harold Rogers,RepHalRogers,"",11,1,9.09,0,0.0,0.0,"[""https://twitter.com/RepHalRogers/status/875453938148851712""]",[]
Dana Rohrabacher,reprohrabacher,"",0,0,0.0,0,0.0,0.0,[],[]
